,subject_id,condition,choice,rt,m1,presentation01,last_stage_favours,gp,p0,gm,p1,m0,choice_formatted,model,pred_mean_rt,pred_p_choose_0,pred_choice,pred_rt
21,11-TwoStageMixtureNoScaling,exp_10,0.0,1.3812,0.5,0.0,0.0,0.5,0.7,0.5,0.29,0.18,0.0,TwoStageBetween,1.0183,0.1964,0.0,1.709
22,11-TwoStageMixtureNoScaling,exp_116,0.0,0.4175,0.79,0.0,0.0,0.5,0.49,0.5,0.22,0.42,0.0,TwoStageBetween,1.1318,0.4133,,
23,11-TwoStageMixtureNoScaling,catch_9,0.0,0.3136,0.4,1.0,1.0,0.5,0.48,0.5,0.72,0.18,0.0,TwoStageBetween,0.6452,0.0268,0.0,0.1339
24,11-TwoStageMixtureNoScaling,exp_74,1.0,0.9352,0.6799999999999999,0.0,0.0,0.5,0.8,0.5,0.2,0.4,1.0,TwoStageBetween,1.0447,0.7621,1.0,0.3958
25,11-TwoStageMixtureNoScaling,catch_7,0.0,1.2118,0.52,1.0,1.0,0.5,0.28,0.5,0.48,0.21,0.0,TwoStageBetween,0.5572,0.0137,0.0,0.3977
26,11-TwoStageMixtureNoScaling,exp_60,0.0,1.9248,0.62,0.0,0.0,0.5,0.41,0.5,0.21,0.18,0.0,TwoStageBetween,0.825,0.0761,0.0,0.1326
27,11-TwoStageMixtureNoScaling,exp_1,1.0,1.8485,0.8300000000000001,1.0,1.0,0.6,0.79,0.4,0.49,0.53,1.0,TwoStageBetween,1.1384,0.4951,0.0,2.2052
28,11-TwoStageMixtureNoScaling,exp_52,0.0,0.6901,0.82,0.0,0.0,0.5,0.49,0.5,0.32,0.6900000000000001,0.0,TwoStageBetween,1.1241,0.6006,1.0,1.3819
29,11-TwoStageMixtureNoScaling,catch_6,0.0,0.5509,0.27,0.0,1.0,0.5,0.23,0.5,0.59,0.19,0.0,TwoStageBetween,0.6327,0.0246,0.0,1.7242
30,11-TwoStageMixtureNoScaling,exp_114,0.0,0.8825,0.79,0.0,0.0,0.5,0.49,0.5,0.22,0.42,0.0,TwoStageBetween,1.1318,0.4133,0.0,1.2497
31,11-TwoStageMixtureNoScaling,exp_68,1.0,0.4109,0.52,0.0,0.0,0.5,0.72,0.5,0.51,0.42,1.0,TwoStageBetween,1.1378,0.5124,0.0,2.0101
32,11-TwoStageMixtureNoScaling,exp_27,0.0,1.1169,0.3,1.0,0.0,0.6,0.3,0.4,0.17,0.2,0.0,TwoStageBetween,1.1296,0.4019,1.0,1.2371
33,11-TwoStageMixtureNoScaling,exp_37,0.0,0.8736,0.32,1.0,0.0,0.4,0.79,0.6,0.7,0.2,0.0,TwoStageBetween,0.9348,0.1305,0.0,0.8622
34,11-TwoStageMixtureNoScaling,exp_102,0.0,0.9722,0.6900000000000001,0.0,1.0,0.5,0.58,0.5,0.38,0.49,0.0,TwoStageBetween,1.1361,0.4434,1.0,0.88
35,11-TwoStageMixtureNoScaling,exp_82,0.0,0.9522,0.8099999999999999,0.0,0.0,0.5,0.61,0.5,0.29,0.22,0.0,TwoStageBetween,0.8253,0.0762,0.0,0.8041
36,11-TwoStageMixtureNoScaling,exp_67,1.0,0.4654,0.52,1.0,0.0,0.6,0.72,0.4,0.51,0.42,1.0,TwoStageBetween,1.1344,0.4297,1.0,0.8937
37,11-TwoStageMixtureNoScaling,catch_5,0.0,0.1869,0.43,1.0,1.0,0.5,0.4,0.5,0.49,0.32,0.0,TwoStageBetween,1.036,0.215,0.0,1.0708
38,11-TwoStageMixtureNoScaling,exp_59,0.0,1.482,0.62,1.0,0.0,0.6,0.41,0.4,0.21,0.18,0.0,TwoStageBetween,0.7846,0.0616,0.0,1.0929
39,11-TwoStageMixtureNoScaling,exp_29,1.0,0.3952,0.3,1.0,0.0,0.4,0.3,0.6,0.17,0.2,1.0,TwoStageBetween,1.1201,0.3647,1.0,0.2729
40,11-TwoStageMixtureNoScaling,catch_8,0.0,0.7298,0.5,0.0,1.0,0.5,0.22,0.5,0.32,0.37,0.0,TwoStageBetween,0.8903,0.1052,0.0,0.3521
41,11-TwoStageMixtureNoScaling,exp_3,1.0,0.4677,0.8300000000000001,1.0,0.0,0.6,0.79,0.4,0.49,0.53,1.0,TwoStageBetween,1.1016,0.3157,0.0,0.2549
42,11-TwoStageMixtureNoScaling,catch_2,0.0,0.8103,0.4,0.0,1.0,0.5,0.38,0.5,0.6,0.22,0.0,TwoStageBetween,0.6693,0.0314,0.0,0.9062
43,11-TwoStageMixtureNoScaling,exp_26,0.0,0.6123,0.3,0.0,0.0,0.5,0.3,0.5,0.17,0.2,0.0,TwoStageBetween,1.1382,0.4752,1.0,0.9755
44,11-TwoStageMixtureNoScaling,exp_80,0.0,1.4076,0.8099999999999999,0.0,1.0,0.5,0.61,0.5,0.29,0.22,0.0,TwoStageBetween,0.8253,0.0762,0.0,0.7298
45,11-TwoStageMixtureNoScaling,exp_88,1.0,0.6829,0.4,0.0,1.0,0.5,0.5,0.5,0.38,0.3,1.0,TwoStageBetween,1.1293,0.4005,0.0,0.6808
46,11-TwoStageMixtureNoScaling,exp_108,1.0,1.5833,0.3,0.0,0.0,0.5,0.78,0.5,0.4,0.21,1.0,TwoStageBetween,1.1293,0.5783,1.0,0.2366
47,11-TwoStageMixtureNoScaling,exp_115,1.0,0.4249,0.79,1.0,0.0,0.6,0.49,0.4,0.22,0.42,1.0,TwoStageBetween,1.1158,0.3514,0.0,3.2184
48,11-TwoStageMixtureNoScaling,exp_73,1.0,0.8336,0.6799999999999999,1.0,1.0,0.6,0.8,0.4,0.2,0.4,1.0,TwoStageBetween,0.9604,0.8453,1.0,0.6138
49,11-TwoStageMixtureNoScaling,exp_47,0.0,0.332,0.79,1.0,1.0,0.4,0.81,0.6,0.48,0.1699999999999999,0.0,TwoStageBetween,0.678,0.0332,0.0,0.7263
50,11-TwoStageMixtureNoScaling,exp_104,1.0,0.5646,0.3,0.0,1.0,0.5,0.78,0.5,0.4,0.21,1.0,TwoStageBetween,1.1293,0.5783,0.0,0.6646
51,11-TwoStageMixtureNoScaling,exp_94,0.0,0.3855,0.4,0.0,1.0,0.5,0.5,0.5,0.38,0.3,0.0,TwoStageBetween,1.1293,0.4005,1.0,0.7963
52,11-TwoStageMixtureNoScaling,exp_43,0.0,0.2068,0.79,1.0,0.0,0.6,0.81,0.4,0.48,0.1699999999999999,0.0,TwoStageBetween,0.616,0.0218,0.0,0.6709
53,11-TwoStageMixtureNoScaling,exp_25,1.0,1.9044,0.3,1.0,1.0,0.6,0.3,0.4,0.17,0.2,1.0,TwoStageBetween,1.127,0.5888,1.0,1.541
54,11-TwoStageMixtureNoScaling,exp_36,0.0,1.3393,0.32,0.0,0.0,0.5,0.79,0.5,0.7,0.2,0.0,TwoStageBetween,1.0102,0.1885,0.0,0.3923
55,11-TwoStageMixtureNoScaling,exp_20,1.0,0.5757,0.8300000000000001,0.0,0.0,0.5,0.28,0.5,0.17,0.43,1.0,TwoStageBetween,1.0573,0.2411,0.0,0.5046
56,11-TwoStageMixtureNoScaling,catch_1,0.0,0.502,0.5900000000000001,1.0,1.0,0.5,0.29,0.5,0.41,0.42,0.0,TwoStageBetween,0.947,0.1384,0.0,0.3251
57,11-TwoStageMixtureNoScaling,exp_78,0.0,0.5398,0.6799999999999999,0.0,1.0,0.5,0.8,0.5,0.2,0.4,0.0,TwoStageBetween,1.0447,0.7621,1.0,0.8135
58,11-TwoStageMixtureNoScaling,exp_40,0.0,1.4307,0.79,0.0,1.0,0.5,0.81,0.5,0.48,0.1699999999999999,0.0,TwoStageBetween,0.646,0.0269,0.0,0.4621
59,11-TwoStageMixtureNoScaling,exp_9,1.0,1.4159,0.5,1.0,1.0,0.6,0.7,0.4,0.29,0.18,1.0,TwoStageBetween,1.0908,0.2937,0.0,2.0097
60,11-TwoStageMixtureNoScaling,exp_117,0.0,0.8725,0.79,1.0,0.0,0.4,0.49,0.6,0.22,0.42,0.0,TwoStageBetween,1.0946,0.3012,0.0,1.864
61,11-TwoStageMixtureNoScaling,catch_3,0.0,0.4096,0.6799999999999999,1.0,1.0,0.5,0.19,0.5,0.38,0.58,0.0,TwoStageBetween,0.9142,0.1182,0.0,0.611
62,11-TwoStageMixtureNoScaling,exp_89,0.0,0.8411,0.4,1.0,1.0,0.6,0.5,0.4,0.38,0.3,0.0,TwoStageBetween,1.1381,0.5055,1.0,0.8097
63,11-TwoStageMixtureNoScaling,exp_96,1.0,1.4678,0.6900000000000001,0.0,1.0,0.5,0.58,0.5,0.38,0.49,1.0,TwoStageBetween,1.1361,0.4434,1.0,2.5109
64,11-TwoStageMixtureNoScaling,exp_69,1.0,1.1356,0.52,1.0,0.0,0.4,0.72,0.6,0.51,0.42,1.0,TwoStageBetween,1.1308,0.4077,0.0,1.1019
65,11-TwoStageMixtureNoScaling,exp_15,0.0,1.0869,0.5,1.0,1.0,0.4,0.7,0.6,0.29,0.18,0.0,TwoStageBetween,1.0522,0.2345,1.0,0.1767
66,11-TwoStageMixtureNoScaling,catch_0,0.0,0.223,0.3,0.0,1.0,0.5,0.19,0.5,0.72,0.2,0.0,TwoStageBetween,0.5173,0.0095,0.0,0.6426
67,11-TwoStageMixtureNoScaling,exp_46,0.0,0.2031,0.79,0.0,1.0,0.5,0.81,0.5,0.48,0.1699999999999999,0.0,TwoStageBetween,0.646,0.0269,0.0,0.2608
68,11-TwoStageMixtureNoScaling,exp_58,0.0,2.2681,0.62,0.0,0.0,0.5,0.41,0.5,0.21,0.18,0.0,TwoStageBetween,0.825,0.0761,0.0,0.2458
69,11-TwoStageMixtureNoScaling,exp_13,0.0,0.69,0.5,1.0,0.0,0.4,0.7,0.6,0.29,0.18,0.0,TwoStageBetween,0.9262,0.1252,0.0,0.4553
70,11-TwoStageMixtureNoScaling,exp_112,0.0,2.3728,0.79,0.0,1.0,0.5,0.49,0.5,0.22,0.42,0.0,TwoStageBetween,1.1318,0.4133,1.0,1.1052
71,11-TwoStageMixtureNoScaling,exp_0,1.0,0.32,0.8300000000000001,0.0,1.0,0.5,0.79,0.5,0.49,0.53,1.0,TwoStageBetween,1.1254,0.3837,0.0,0.4257
72,11-TwoStageMixtureNoScaling,exp_61,0.0,0.3326,0.62,1.0,0.0,0.4,0.41,0.6,0.21,0.18,0.0,TwoStageBetween,0.7302,0.0456,0.0,1.0446
73,11-TwoStageMixtureNoScaling,exp_12,0.0,0.7272,0.5,0.0,0.0,0.5,0.7,0.5,0.29,0.18,0.0,TwoStageBetween,1.0183,0.1964,0.0,0.308
74,11-TwoStageMixtureNoScaling,exp_72,0.0,3.4664,0.6799999999999999,0.0,1.0,0.5,0.8,0.5,0.2,0.4,0.0,TwoStageBetween,1.0447,0.7621,1.0,0.562
75,11-TwoStageMixtureNoScaling,exp_16,0.0,1.5541,0.8300000000000001,0.0,1.0,0.5,0.28,0.5,0.17,0.43,0.0,TwoStageBetween,1.0573,0.2411,0.0,2.7871
76,11-TwoStageMixtureNoScaling,exp_28,0.0,0.2839,0.3,0.0,0.0,0.5,0.3,0.5,0.17,0.2,0.0,TwoStageBetween,1.1382,0.4752,1.0,1.029
77,11-TwoStageMixtureNoScaling,exp_86,0.0,0.1061,0.8099999999999999,0.0,1.0,0.5,0.61,0.5,0.29,0.22,0.0,TwoStageBetween,0.8253,0.0762,0.0,0.693
78,11-TwoStageMixtureNoScaling,exp_65,1.0,0.874,0.52,1.0,1.0,0.6,0.72,0.4,0.51,0.42,1.0,TwoStageBetween,1.1196,0.6166,1.0,0.5412
79,11-TwoStageMixtureNoScaling,exp_39,0.0,0.8439,0.32,1.0,1.0,0.4,0.79,0.6,0.7,0.2,0.0,TwoStageBetween,1.0588,0.2431,0.0,2.2966
80,11-TwoStageMixtureNoScaling,exp_48,1.0,1.5112,0.82,0.0,1.0,0.5,0.49,0.5,0.32,0.6900000000000001,1.0,TwoStageBetween,1.1241,0.6006,,
81,11-TwoStageMixtureNoScaling,exp_97,1.0,1.2006,0.6900000000000001,1.0,1.0,0.6,0.58,0.4,0.38,0.49,1.0,TwoStageBetween,1.1337,0.5534,,
82,11-TwoStageMixtureNoScaling,exp_14,0.0,2.3745,0.5,0.0,1.0,0.5,0.7,0.5,0.29,0.18,0.0,TwoStageBetween,1.0183,0.1964,1.0,0.8502
83,11-TwoStageMixtureNoScaling,exp_41,0.0,0.1983,0.79,1.0,1.0,0.6,0.81,0.4,0.48,0.1699999999999999,0.0,TwoStageBetween,0.7318,0.046,0.0,0.258
84,11-TwoStageMixtureNoScaling,exp_17,0.0,1.5731,0.8300000000000001,1.0,1.0,0.6,0.28,0.4,0.17,0.43,0.0,TwoStageBetween,1.111,0.3382,0.0,0.4727
85,11-TwoStageMixtureNoScaling,exp_2,0.0,2.3324,0.8300000000000001,0.0,0.0,0.5,0.79,0.5,0.49,0.53,0.0,TwoStageBetween,1.1254,0.3837,1.0,1.3828
86,11-TwoStageMixtureNoScaling,exp_56,0.0,0.4911,0.62,0.0,1.0,0.5,0.41,0.5,0.21,0.18,0.0,TwoStageBetween,0.825,0.0761,0.0,0.2186
87,11-TwoStageMixtureNoScaling,exp_85,0.0,1.312,0.8099999999999999,1.0,0.0,0.4,0.61,0.6,0.29,0.22,0.0,TwoStageBetween,0.7289,0.0453,0.0,0.8427
88,11-TwoStageMixtureNoScaling,exp_5,1.0,0.9828,0.8300000000000001,1.0,0.0,0.4,0.79,0.6,0.49,0.53,1.0,TwoStageBetween,1.0851,0.2834,0.0,0.3869
89,11-TwoStageMixtureNoScaling,exp_106,1.0,1.1107,0.3,0.0,0.0,0.5,0.78,0.5,0.4,0.21,1.0,TwoStageBetween,1.1293,0.5783,0.0,0.8551
90,11-TwoStageMixtureNoScaling,exp_24,1.0,0.3205,0.3,0.0,1.0,0.5,0.3,0.5,0.17,0.2,1.0,TwoStageBetween,1.1382,0.4752,0.0,0.2303
91,11-TwoStageMixtureNoScaling,exp_77,1.0,0.3097,0.6799999999999999,1.0,0.0,0.4,0.8,0.6,0.2,0.4,1.0,TwoStageBetween,1.1066,0.6542,0.0,1.423
92,11-TwoStageMixtureNoScaling,exp_81,0.0,1.8205,0.8099999999999999,1.0,1.0,0.6,0.61,0.4,0.29,0.22,0.0,TwoStageBetween,0.9262,0.1252,0.0,1.2137
93,11-TwoStageMixtureNoScaling,exp_110,1.0,1.7791,0.3,0.0,1.0,0.5,0.78,0.5,0.4,0.21,1.0,TwoStageBetween,1.1293,0.5783,0.0,0.4313
94,11-TwoStageMixtureNoScaling,exp_51,0.0,0.5742,0.82,1.0,0.0,0.6,0.49,0.4,0.32,0.6900000000000001,0.0,TwoStageBetween,1.1374,0.5188,1.0,3.7208
95,11-TwoStageMixtureNoScaling,exp_119,1.0,0.5248,0.79,1.0,1.0,0.4,0.49,0.6,0.22,0.42,1.0,TwoStageBetween,1.1383,0.4781,0.0,0.9825
96,11-TwoStageMixtureNoScaling,exp_33,0.0,0.7924,0.32,1.0,1.0,0.6,0.79,0.4,0.7,0.2,0.0,TwoStageBetween,1.0732,0.2639,1.0,0.6154
97,11-TwoStageMixtureNoScaling,exp_55,1.0,0.9002,0.82,1.0,1.0,0.4,0.49,0.6,0.32,0.6900000000000001,1.0,TwoStageBetween,1.0963,0.6779,0.0,1.6478
98,11-TwoStageMixtureNoScaling,exp_49,1.0,0.5056,0.82,1.0,1.0,0.6,0.49,0.4,0.32,0.6900000000000001,1.0,TwoStageBetween,1.0861,0.6983,0.0,0.225
99,11-TwoStageMixtureNoScaling,catch_13,0.0,0.9409,0.2799999999999999,1.0,1.0,0.5,0.21,0.5,0.52,0.18,0.0,TwoStageBetween,0.651,0.0279,0.0,0.2127
100,11-TwoStageMixtureNoScaling,exp_31,0.0,0.3771,0.3,1.0,1.0,0.4,0.3,0.6,0.17,0.2,0.0,TwoStageBetween,1.1342,0.5498,1.0,1.4686
101,11-TwoStageMixtureNoScaling,catch_16,0.0,1.3809,0.78,0.0,1.0,0.5,0.32,0.5,0.37,0.6799999999999999,0.0,TwoStageBetween,1.0841,0.2817,0.0,0.3274
102,11-TwoStageMixtureNoScaling,exp_54,1.0,2.8884,0.82,0.0,1.0,0.5,0.49,0.5,0.32,0.6900000000000001,1.0,TwoStageBetween,1.1241,0.6006,1.0,0.7834
103,11-TwoStageMixtureNoScaling,catch_11,0.0,1.0812,0.5,1.0,1.0,0.5,0.18,0.5,0.58,0.1699999999999999,0.0,TwoStageBetween,0.3934,0.002,0.0,0.6438
104,11-TwoStageMixtureNoScaling,exp_44,0.0,0.8823,0.79,0.0,0.0,0.5,0.81,0.5,0.48,0.1699999999999999,0.0,TwoStageBetween,0.646,0.0269,0.0,1.3206
105,11-TwoStageMixtureNoScaling,exp_21,0.0,0.217,0.8300000000000001,1.0,0.0,0.4,0.28,0.6,0.17,0.43,0.0,TwoStageBetween,0.9827,0.1645,0.0,1.5155
106,11-TwoStageMixtureNoScaling,catch_17,0.0,0.9966,0.3,1.0,1.0,0.5,0.4,0.5,0.68,0.22,0.0,TwoStageBetween,0.8823,0.1012,0.0,0.702
107,11-TwoStageMixtureNoScaling,exp_4,1.0,0.6157,0.8300000000000001,0.0,0.0,0.5,0.79,0.5,0.49,0.53,1.0,TwoStageBetween,1.1254,0.3837,1.0,2.3494
108,11-TwoStageMixtureNoScaling,exp_75,0.0,0.5061,0.6799999999999999,1.0,0.0,0.6,0.8,0.4,0.2,0.4,0.0,TwoStageBetween,1.0772,0.7141,1.0,1.1086
109,11-TwoStageMixtureNoScaling,exp_63,0.0,0.694,0.62,1.0,1.0,0.4,0.41,0.6,0.21,0.18,0.0,TwoStageBetween,0.8663,0.0936,0.0,0.5972
110,11-TwoStageMixtureNoScaling,exp_95,0.0,1.0006,0.4,1.0,1.0,0.4,0.5,0.6,0.38,0.3,0.0,TwoStageBetween,1.1383,0.4816,0.0,0.7606
111,11-TwoStageMixtureNoScaling,exp_66,0.0,1.043,0.52,0.0,0.0,0.5,0.72,0.5,0.51,0.42,0.0,TwoStageBetween,1.1378,0.5124,1.0,0.2762
112,11-TwoStageMixtureNoScaling,exp_103,1.0,0.3971,0.6900000000000001,1.0,1.0,0.4,0.58,0.6,0.38,0.49,1.0,TwoStageBetween,1.1372,0.5218,0.0,1.1601
113,11-TwoStageMixtureNoScaling,catch_18,0.0,0.4003,0.38,0.0,1.0,0.5,0.19,0.5,0.37,0.31,0.0,TwoStageBetween,0.8246,0.0759,0.0,0.2627
114,11-TwoStageMixtureNoScaling,exp_38,0.0,1.1203,0.32,0.0,1.0,0.5,0.79,0.5,0.7,0.2,0.0,TwoStageBetween,1.0102,0.1885,1.0,2.3647
115,11-TwoStageMixtureNoScaling,catch_14,0.0,0.6699,0.79,0.0,1.0,0.5,0.22,0.5,0.28,0.41,0.0,TwoStageBetween,0.7252,0.0443,0.0,0.4266
116,11-TwoStageMixtureNoScaling,exp_109,1.0,2.8399,0.3,1.0,0.0,0.4,0.78,0.6,0.4,0.21,1.0,TwoStageBetween,1.1377,0.4641,1.0,0.3164
117,11-TwoStageMixtureNoScaling,exp_83,0.0,1.408,0.8099999999999999,1.0,0.0,0.6,0.61,0.4,0.29,0.22,0.0,TwoStageBetween,0.7865,0.0622,1.0,2.6004
118,11-TwoStageMixtureNoScaling,exp_79,0.0,0.6311,0.6799999999999999,1.0,1.0,0.4,0.8,0.6,0.2,0.4,0.0,TwoStageBetween,1.0072,0.8045,1.0,0.6844
119,11-TwoStageMixtureNoScaling,exp_6,0.0,1.1152,0.8300000000000001,0.0,1.0,0.5,0.79,0.5,0.49,0.53,0.0,TwoStageBetween,1.1254,0.3837,0.0,0.4207
120,11-TwoStageMixtureNoScaling,exp_70,0.0,2.1471,0.52,0.0,1.0,0.5,0.72,0.5,0.51,0.42,0.0,TwoStageBetween,1.1378,0.5124,1.0,0.7077
121,11-TwoStageMixtureNoScaling,catch_15,0.0,0.6896,0.49,1.0,1.0,0.5,0.22,0.5,0.49,0.3,0.0,TwoStageBetween,0.6598,0.0295,0.0,0.9829
122,11-TwoStageMixtureNoScaling,catch_19,0.0,0.8705,0.48,1.0,1.0,0.5,0.48,0.5,0.59,0.31,0.0,TwoStageBetween,0.9483,0.1393,0.0,1.1415
123,11-TwoStageMixtureNoScaling,exp_11,0.0,0.9521,0.5,1.0,0.0,0.6,0.7,0.4,0.29,0.18,0.0,TwoStageBetween,0.9808,0.163,0.0,0.4388
124,11-TwoStageMixtureNoScaling,catch_12,0.0,1.769,0.6,0.0,1.0,0.5,0.23,0.5,0.47,0.5,0.0,TwoStageBetween,0.8186,0.0736,0.0,0.7178
125,11-TwoStageMixtureNoScaling,exp_100,0.0,0.7125,0.6900000000000001,0.0,0.0,0.5,0.58,0.5,0.38,0.49,0.0,TwoStageBetween,1.1361,0.4434,1.0,0.4079
126,11-TwoStageMixtureNoScaling,exp_111,1.0,0.309,0.3,1.0,1.0,0.4,0.78,0.6,0.4,0.21,1.0,TwoStageBetween,1.1084,0.6494,0.0,0.2947
127,11-TwoStageMixtureNoScaling,exp_62,0.0,0.1506,0.62,0.0,1.0,0.5,0.41,0.5,0.21,0.18,0.0,TwoStageBetween,0.825,0.0761,0.0,0.1891
128,11-TwoStageMixtureNoScaling,exp_92,0.0,1.0315,0.4,0.0,0.0,0.5,0.5,0.5,0.38,0.3,0.0,TwoStageBetween,1.1293,0.4005,0.0,0.4568
129,11-TwoStageMixtureNoScaling,exp_71,1.0,0.4106,0.52,1.0,1.0,0.4,0.72,0.6,0.51,0.42,1.0,TwoStageBetween,1.1256,0.5948,1.0,0.6495
130,11-TwoStageMixtureNoScaling,catch_10,0.0,0.2746,0.32,0.0,1.0,0.5,0.31,0.5,0.51,0.1699999999999999,0.0,TwoStageBetween,0.6367,0.0253,0.0,0.5372
131,11-TwoStageMixtureNoScaling,exp_7,1.0,1.6538,0.8300000000000001,1.0,1.0,0.4,0.79,0.6,0.49,0.53,1.0,TwoStageBetween,1.1372,0.4567,0.0,1.731
132,11-TwoStageMixtureNoScaling,exp_34,1.0,0.71,0.32,0.0,0.0,0.5,0.79,0.5,0.7,0.2,1.0,TwoStageBetween,1.0102,0.1885,0.0,2.7156
133,11-TwoStageMixtureNoScaling,exp_105,1.0,0.2935,0.3,1.0,1.0,0.6,0.78,0.4,0.4,0.21,1.0,TwoStageBetween,1.0925,0.6858,0.0,0.3176
134,11-TwoStageMixtureNoScaling,exp_93,0.0,3.9862,0.4,1.0,0.0,0.4,0.5,0.6,0.38,0.3,0.0,TwoStageBetween,1.0961,0.3041,0.0,0.6142
135,11-TwoStageMixtureNoScaling,exp_118,0.0,1.4681,0.79,0.0,1.0,0.5,0.49,0.5,0.22,0.42,0.0,TwoStageBetween,1.1318,0.4133,1.0,1.8563
136,11-TwoStageMixtureNoScaling,exp_32,0.0,2.1145,0.32,0.0,1.0,0.5,0.79,0.5,0.7,0.2,0.0,TwoStageBetween,1.0102,0.1885,0.0,0.3947
137,11-TwoStageMixtureNoScaling,exp_76,1.0,0.6087,0.6799999999999999,0.0,0.0,0.5,0.8,0.5,0.2,0.4,1.0,TwoStageBetween,1.0447,0.7621,0.0,0.2188
